event_type,node,reason,station_id,task_id,time,vehicle_id
charge_unreachable,0,,,,264,1
charge_unreachable,0,,,,264,2
vehicle_became_idle,,reach_depot,,,264,3
charge_unreachable,0,,,,264,4
charge_unreachable,0,,,,264,5
charge_unreachable,0,,,,264,6
charge_unreachable,0,,,,264,7
charge_unreachable,0,,,,264,9
task_released,,,,10,265,
task_released,,,,72,265,
charge_unreachable,0,,,,265,0
charge_unreachable,0,,,,265,1
charge_unreachable,0,,,,265,2
charge_unreachable,0,,,,265,4
charge_unreachable,0,,,,265,5
charge_unreachable,0,,,,265,6
charge_unreachable,0,,,,265,7
charge_unreachable,0,,,,265,9
task_released,,,,95,266,
charge_unreachable,0,,,,266,0
charge_unreachable,0,,,,266,1
charge_unreachable,0,,,,266,2
charge_unreachable,0,,,,266,4
charge_unreachable,0,,,,266,5
charge_unreachable,0,,,,266,6
charge_unreachable,0,,,,266,7
vehicle_became_idle,,reach_depot,,,266,8
charge_unreachable,0,,,,266,9
task_released,,,,52,267,
charge_unreachable,0,,,,267,0
charge_unreachable,0,,,,267,1
charge_unreachable,0,,,,267,2
charge_unreachable,0,,,,267,4
charge_unreachable,0,,,,267,5
charge_unreachable,0,,,,267,6
charge_unreachable,0,,,,267,7
charge_unreachable,0,,,,267,9
charge_unreachable,0,,,,268,0
charge_unreachable,0,,,,268,1
charge_unreachable,0,,,,268,2
charge_unreachable,0,,,,268,4
charge_unreachable,0,,,,268,5
charge_unreachable,0,,,,268,6
charge_unreachable,0,,,,268,7
charge_unreachable,0,,,,268,9
charge_unreachable,0,,,,269,0
charge_unreachable,0,,,,269,1
charge_unreachable,0,,,,269,2
charge_unreachable,0,,,,269,4
charge_unreachable,0,,,,269,5
charge_unreachable,0,,,,269,6
charge_unreachable,0,,,,269,7
charge_unreachable,0,,,,269,9
charge_unreachable,0,,,,270,0
charge_unreachable,0,,,,270,1
charge_unreachable,0,,,,270,2
charge_unreachable,0,,,,270,4
charge_unreachable,0,,,,270,5
charge_unreachable,0,,,,270,6
charge_unreachable,0,,,,270,7
charge_unreachable,0,,,,270,9
