time,event_type,vehicle_id,node,battery,status,assigned_task,task_load,target_station,total_distance,total_score
9,move_to_depot,1,13430926228,114.0873,moving_to_depot,,0.0,,5.9127,95.8524
9,step,0,12237344590,112.5,moving_to_task,0,10.7,,7.5,0.0
9,step,1,13430926228,114.0873,moving_to_depot,,0.0,,5.9127,95.8524
9,step,2,4857888790,118.5,moving_to_task,2,6.69,,1.5,0.0
9,step,3,4857831901,118.5,moving_to_task,8,10.94,,1.5,0.0
9,step,4,1347774990,120.0,idle,,0.0,,0.0,0.0
9,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
9,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
9,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
9,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
9,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
10,step,0,12754612921,111.0,moving_to_task,0,10.7,,9.0,0.0
10,step,1,2189504434,112.5873,moving_to_depot,,0.0,,7.4127,95.8524
10,step,2,4464272153,117.0,moving_to_task,2,6.69,,3.0,0.0
10,step,3,4084631543,117.0,moving_to_task,8,10.94,,3.0,0.0
10,step,4,1347774990,120.0,idle,,0.0,,0.0,0.0
10,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
10,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
10,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
10,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
10,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
11,task_finish,0,12753900120,110.3991,moving_to_task,,0.0,,9.6009,93.0395
11,move_to_depot,0,12753900120,110.3991,moving_to_depot,,0.0,,9.6009,93.0395
11,step,0,12753900120,110.3991,moving_to_depot,,0.0,,9.6009,93.0395
11,step,1,5734866567,111.0873,moving_to_depot,,0.0,,8.9127,95.8524
11,step,2,1209269876,115.5,moving_to_task,2,6.69,,4.5,0.0
11,step,3,4084631505,115.5,moving_to_task,8,10.94,,4.5,0.0
11,step,4,1347774990,120.0,idle,,0.0,,0.0,0.0
11,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
11,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
11,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
11,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
11,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
12,dispatch,4,1347774990,120.0,moving_to_task,9,16.6,,0.0,0.0
12,step,0,2649733434,108.8991,moving_to_depot,,0.0,,11.1009,93.0395
12,step,1,5734868409,109.5873,moving_to_depot,,0.0,,10.4127,95.8524
12,step,2,279960963,114.0,moving_to_task,2,6.69,,6.0,0.0
12,step,3,4083274991,114.0,moving_to_task,8,10.94,,6.0,0.0
12,step,4,4857831901,118.5,moving_to_task,9,16.6,,1.5,0.0
12,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
12,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
12,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
12,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
12,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
13,reach_depot,1,1347774990,108.1746,idle,,0.0,,11.8254,95.8524
13,step,0,12237344588,107.3991,moving_to_depot,,0.0,,12.6009,93.0395
13,step,1,1347774990,108.1746,idle,,0.0,,11.8254,95.8524
13,step,2,9657341789,112.5,moving_to_task,2,6.69,,7.5,0.0
13,step,3,4083142997,112.5,moving_to_task,8,10.94,,7.5,0.0
13,step,4,1995744951,117.0,moving_to_task,9,16.6,,3.0,0.0
13,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
13,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
13,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
13,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
13,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
14,step,0,9044755075,105.8991,moving_to_depot,,0.0,,14.1009,93.0395
14,step,1,1347774990,108.1746,idle,,0.0,,11.8254,95.8524
14,step,2,9083447933,111.0,moving_to_task,2,6.69,,9.0,0.0
14,step,3,12178369626,111.0,moving_to_task,8,10.94,,9.0,0.0
14,step,4,1995744781,115.5,moving_to_task,9,16.6,,4.5,0.0
14,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
14,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
14,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
14,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
14,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
15,task_finish,4,11701102943,114.9797,moving_to_task,,0.0,,5.0203,96.3878
15,move_to_depot,4,11701102943,114.9797,moving_to_depot,,0.0,,5.0203,96.3878
15,step,0,5734868134,104.3991,moving_to_depot,,0.0,,15.6009,93.0395
15,step,1,1347774990,108.1746,idle,,0.0,,11.8254,95.8524
15,step,2,5415569726,109.5,moving_to_task,2,6.69,,10.5,0.0
15,step,3,705894543,109.5,moving_to_task,8,10.94,,10.5,0.0
15,step,4,11701102943,114.9797,moving_to_depot,,0.0,,5.0203,96.3878
