event_type,node,reason,station_id,task_id,time,vehicle_id
task_released,,,,226,397,
charge_unreachable,0,,,,397,0
charge_unreachable,0,,,,397,1
charge_unreachable,0,,,,397,3
charge_unreachable,0,,,,397,7
charge_unreachable,0,,,,397,8
charge_unreachable,0,,,,397,10
charge_unreachable,0,,,,397,12
charge_unreachable,0,,,,397,13
charge_unreachable,0,,,,398,0
charge_unreachable,0,,,,398,1
charge_unreachable,0,,,,398,3
charge_unreachable,0,,,,398,7
charge_unreachable,0,,,,398,8
charge_unreachable,0,,,,398,10
charge_unreachable,0,,,,398,12
charge_unreachable,0,,,,398,13
task_released,,,,75,399,
task_released,,,,82,399,
task_released,,,,112,399,
task_released,,,,169,399,
charge_unreachable,0,,,,399,0
charge_unreachable,0,,,,399,1
charge_unreachable,0,,,,399,3
charge_unreachable,0,,,,399,7
charge_unreachable,0,,,,399,8
charge_unreachable,0,,,,399,10
charge_unreachable,0,,,,399,12
charge_unreachable,0,,,,399,13
charge_unreachable,0,,,,400,0
charge_unreachable,0,,,,400,1
charge_unreachable,0,,,,400,3
charge_unreachable,0,,,,400,7
charge_unreachable,0,,,,400,8
charge_unreachable,0,,,,400,10
charge_unreachable,0,,,,400,12
charge_unreachable,0,,,,400,13
charge_unreachable,0,,,,401,0
charge_unreachable,0,,,,401,1
charge_unreachable,0,,,,401,3
task_completed,,,,258,401,
charge_unreachable,0,,,,401,7
charge_unreachable,0,,,,401,8
charge_unreachable,0,,,,401,10
charge_unreachable,0,,,,401,12
charge_unreachable,0,,,,401,13
task_released,,,,159,402,
charge_unreachable,0,,,,402,0
charge_unreachable,0,,,,402,1
charge_unreachable,0,,,,402,3
charge_unreachable,0,,,,402,7
charge_unreachable,0,,,,402,8
charge_unreachable,0,,,,402,10
charge_unreachable,0,,,,402,12
charge_unreachable,0,,,,402,13
charge_unreachable,0,,,,403,0
charge_unreachable,0,,,,403,1
charge_unreachable,0,,,,403,3
charge_unreachable,0,,,,403,7
charge_unreachable,0,,,,403,8
charge_unreachable,0,,,,403,10
charge_unreachable,0,,,,403,12
charge_unreachable,0,,,,403,13
task_released,,,,93,404,
charge_unreachable,0,,,,404,0
charge_unreachable,0,,,,404,1
charge_unreachable,0,,,,404,3
charge_unreachable,0,,,,404,7
charge_unreachable,0,,,,404,8
charge_unreachable,0,,,,404,10
task_completed,,,,105,404,
charge_unreachable,0,,,,404,12
charge_unreachable,0,,,,404,13
charge_unreachable,0,,,,405,0
charge_unreachable,0,,,,405,1
charge_unreachable,0,,,,405,3
charge_unreachable,0,,,,405,7
charge_unreachable,0,,,,405,8
charge_unreachable,0,,,,405,10
charge_unreachable,0,,,,405,12
charge_unreachable,0,,,,405,13
task_released,,,,166,406,
task_released,,,,282,406,
charge_unreachable,0,,,,406,0
charge_unreachable,0,,,,406,1
vehicle_became_idle,,reach_depot,,,406,2
charge_unreachable,0,,,,406,2
charge_unreachable,0,,,,406,3
charge_unreachable,0,,,,406,7
charge_unreachable,0,,,,406,8
charge_unreachable,0,,,,406,10
charge_unreachable,0,,,,406,12
charge_unreachable,0,,,,406,13
charge_unreachable,0,,,,407,0
charge_unreachable,0,,,,407,1
charge_unreachable,0,,,,407,2
charge_unreachable,0,,,,407,3
charge_unreachable,0,,,,407,7
charge_unreachable,0,,,,407,8
charge_unreachable,0,,,,407,10
charge_unreachable,0,,,,407,12
charge_unreachable,0,,,,407,13
charge_unreachable,0,,,,408,0
charge_unreachable,0,,,,408,1
charge_unreachable,0,,,,408,2
charge_unreachable,0,,,,408,3
charge_unreachable,0,,,,408,7
charge_unreachable,0,,,,408,8
charge_unreachable,0,,,,408,10
charge_unreachable,0,,,,408,12
charge_unreachable,0,,,,408,13
task_completed,,,,112,408,
charge_unreachable,0,,,,409,0
charge_unreachable,0,,,,409,1
charge_unreachable,0,,,,409,2
charge_unreachable,0,,,,409,3
charge_unreachable,0,,,,409,7
charge_unreachable,0,,,,409,8
charge_unreachable,0,,,,409,10
charge_unreachable,0,,,,409,12
charge_unreachable,0,,,,409,13
charge_unreachable,0,,,,410,0
charge_unreachable,0,,,,410,1
charge_unreachable,0,,,,410,2
charge_unreachable,0,,,,410,3
charge_unreachable,0,,,,410,7
charge_unreachable,0,,,,410,8
charge_unreachable,0,,,,410,10
charge_unreachable,0,,,,410,12
charge_unreachable,0,,,,410,13
task_released,,,,91,411,
task_released,,,,288,411,
charge_unreachable,0,,,,411,0
charge_unreachable,0,,,,411,1
charge_unreachable,0,,,,411,2
charge_unreachable,0,,,,411,3
charge_unreachable,0,,,,411,7
charge_unreachable,0,,,,411,8
charge_unreachable,0,,,,411,10
charge_unreachable,0,,,,411,12
charge_unreachable,0,,,,411,13
charge_unreachable,0,,,,412,0
charge_unreachable,0,,,,412,1
charge_unreachable,0,,,,412,2
charge_unreachable,0,,,,412,3
charge_unreachable,0,,,,412,7
charge_unreachable,0,,,,412,8
charge_unreachable,0,,,,412,10
charge_unreachable,0,,,,412,12
charge_unreachable,0,,,,412,13
task_released,,,,116,413,
charge_unreachable,0,,,,413,0
charge_unreachable,0,,,,413,1
charge_unreachable,0,,,,413,2
charge_unreachable,0,,,,413,3
charge_unreachable,0,,,,413,7
charge_unreachable,0,,,,413,8
charge_unreachable,0,,,,413,10
charge_unreachable,0,,,,413,12
charge_unreachable,0,,,,413,13
charge_unreachable,0,,,,414,0
charge_unreachable,0,,,,414,1
charge_unreachable,0,,,,414,2
charge_unreachable,0,,,,414,3
charge_unreachable,0,,,,414,7
charge_unreachable,0,,,,414,8
charge_unreachable,0,,,,414,10
charge_unreachable,0,,,,414,12
charge_unreachable,0,,,,414,13
charge_unreachable,0,,,,415,0
charge_unreachable,0,,,,415,1
charge_unreachable,0,,,,415,2
charge_unreachable,0,,,,415,3
vehicle_became_idle,,reach_depot,,,415,6
charge_unreachable,0,,,,415,7
charge_unreachable,0,,,,415,8
charge_unreachable,0,,,,415,10
charge_unreachable,0,,,,415,12
charge_unreachable,0,,,,415,13
task_released,,,,109,416,
charge_unreachable,0,,,,416,0
charge_unreachable,0,,,,416,1
charge_unreachable,0,,,,416,2
charge_unreachable,0,,,,416,3
charge_unreachable,0,,,,416,7
charge_unreachable,0,,,,416,8
charge_unreachable,0,,,,416,10
charge_unreachable,0,,,,416,12
charge_unreachable,0,,,,416,13
task_released,,,,92,417,
task_released,,,,230,417,
charge_unreachable,0,,,,417,0
charge_unreachable,0,,,,417,1
charge_unreachable,0,,,,417,2
charge_unreachable,0,,,,417,3
vehicle_reached_station,,,5,,417,6
charge_unreachable,0,,,,417,7
charge_unreachable,0,,,,417,8
charge_unreachable,0,,,,417,10
charge_unreachable,0,,,,417,12
charge_unreachable,0,,,,417,13
charge_unreachable,0,,,,418,0
charge_unreachable,0,,,,418,1
charge_unreachable,0,,,,418,2
charge_unreachable,0,,,,418,3
charge_unreachable,0,,,,418,7
charge_unreachable,0,,,,418,8
