episode,seed,scale_index,scale,epsilon,total_reward,steps,final_score,completed_tasks,expired_tasks,eval_score_mean,eval_reward_mean,action_0_count,action_1_count,action_2_count,action_3_count
36.0,43.0,0.0,medium,0.16697863346374528,1776.2306024079603,94.0,1774.7678100377652,25.0,24.0,2484.8615698680824,2721.09697426922,4.0,34.0,28.0,28.0
37.0,44.0,0.0,medium,0.16614374029642656,2182.2189446788166,82.0,2000.4353939844614,25.0,12.0,3167.4180173417258,3559.1508160940584,11.0,14.0,16.0,41.0
38.0,45.0,0.0,medium,0.16531302159494443,3477.199201862738,99.0,3136.158555130573,37.0,13.0,3223.907396891748,3611.866912500887,7.0,12.0,20.0,60.0
39.0,46.0,0.0,medium,0.16448645648696972,2138.917385561481,76.0,1937.02547015937,25.0,16.0,2473.793732959381,2724.8279567846594,5.0,31.0,22.0,18.0
40.0,47.0,0.0,medium,0.16366402420453488,4505.448647856673,107.0,3905.305591372828,43.0,5.0,2702.5456726501407,3002.40307150994,9.0,11.0,50.0,37.0
41.0,48.0,0.0,medium,0.1628457040835122,2964.930521585224,90.0,2656.9437668768314,31.0,10.0,2975.3740779432806,3308.2160484613637,2.0,16.0,41.0,31.0
42.0,49.0,0.0,medium,0.16203147556309463,3772.833860022871,88.0,3208.5435874552973,35.0,0.0,2820.2342038561314,3168.3664068722446,3.0,16.0,38.0,31.0
43.0,50.0,0.0,medium,0.16122131818527916,3342.820035702383,91.0,2931.978504927006,34.0,11.0,3170.3505021148876,3590.610387491015,11.0,14.0,46.0,20.0
44.0,51.0,0.0,medium,0.16041521159435276,3242.9154219408697,90.0,2839.429295552347,33.0,8.0,3062.8235941148164,3438.9534727885693,4.0,6.0,38.0,42.0
45.0,52.0,0.0,medium,0.159613135536381,3299.4084230913813,101.0,2952.599877934755,35.0,11.0,2605.8821535134343,2912.780120891334,15.0,14.0,50.0,22.0
46.0,53.0,0.0,medium,0.15881506985869911,4008.387804246555,102.0,3539.2218737193093,40.0,7.0,3167.8504635514223,3581.690066613999,27.0,4.0,54.0,17.0
47.0,54.0,0.0,medium,0.15802099450940563,4145.54369789925,106.0,3628.2572229373754,41.0,5.0,3080.675752326098,3458.7055979912293,3.0,36.0,57.0,10.0
48.0,55.0,0.0,medium,0.1572308895368586,3509.6663450028523,91.0,3134.605847770724,37.0,15.0,2604.016549030735,2851.7090877540218,7.0,39.0,18.0,27.0
49.0,56.0,0.0,medium,0.1564447350891743,3282.449791205347,99.0,2948.7152492841055,35.0,14.0,2620.159145675132,2920.9484939350937,12.0,49.0,14.0,24.0
50.0,57.0,0.0,medium,0.15566251141372844,3889.940943915518,100.0,3386.8287928279565,38.0,7.0,3183.5589858087164,3574.492811862643,6.0,38.0,32.0,24.0
51.0,58.0,0.0,medium,0.1548841988566598,3375.518942388037,88.0,2966.060953682342,34.0,8.0,2894.488129664782,3240.399957661351,5.0,45.0,17.0,21.0
52.0,59.0,0.0,medium,0.1541097778623765,4227.022277811227,113.0,3727.732072377507,43.0,11.0,2624.6689454194484,2906.1007055814694,10.0,39.0,36.0,28.0
53.0,60.0,0.0,medium,0.15333922897306462,3680.5481359765636,100.0,3269.1018294449777,38.0,10.0,2853.9340138190364,3155.763674208271,11.0,3.0,46.0,40.0
54.0,61.0,0.0,medium,0.1525725328281993,3210.01533652003,83.0,2805.8143663094584,32.0,5.0,2988.667451900403,3323.902356278136,5.0,12.0,43.0,23.0
55.0,62.0,0.0,medium,0.1518096701640583,2441.964388915936,80.0,2250.445817643626,29.0,20.0,3063.530420829736,3445.435461084119,9.0,11.0,43.0,17.0
56.0,63.0,0.0,medium,0.151050621813238,4613.588572134901,110.0,3973.0366620239784,44.0,4.0,2680.3406732250296,2904.247723598227,9.0,36.0,45.0,20.0
57.0,64.0,0.0,medium,0.15029536870417182,3326.5786622434953,101.0,3006.902258375034,36.0,12.0,2671.1338381192036,2939.3967842111756,9.0,8.0,47.0,37.0
58.0,65.0,0.0,medium,0.14954389186065095,3063.640833161981,99.0,2769.412885293819,33.0,13.0,2317.1633936084313,2548.198322900715,9.0,33.0,29.0,28.0
59.0,66.0,0.0,medium,0.1487961724013477,3134.1747380174716,106.0,2925.031973738644,36.0,18.0,2636.061304815208,2853.2205162069404,27.0,14.0,50.0,15.0
60.0,67.0,0.0,medium,0.14805219153934096,2568.4270539116133,97.0,2394.2374705115017,30.0,16.0,2467.454190452576,2682.3462926986467,39.0,9.0,19.0,30.0
61.0,68.0,0.0,medium,0.14731193058164427,3503.5807519094137,97.0,3131.607895396791,37.0,13.0,2933.066237911403,3238.430268738838,7.0,39.0,16.0,35.0
62.0,69.0,0.0,medium,0.14657537092873604,4188.89757966289,108.0,3738.713596616998,44.0,14.0,2430.9726816842394,2637.834821372933,22.0,55.0,25.0,6.0
63.0,70.0,0.0,medium,0.14584249407409236,4306.824893539523,109.0,3729.4375937506125,42.0,6.0,2988.525459180591,3350.116606053036,62.0,22.0,13.0,12.0
64.0,71.0,0.0,medium,0.1451132816037219,3932.938535561707,108.0,3481.028376231754,40.0,11.0,2696.4683420310657,3026.1575479258727,25.0,20.0,20.0,43.0
65.0,72.0,0.0,medium,0.1443877151957033,3424.345567508103,91.0,3003.958080321412,34.0,4.0,2848.300499753869,3187.150157348398,37.0,12.0,18.0,24.0
66.0,73.0,0.0,medium,0.14366577661972477,3194.334011322626,95.0,2873.671018530584,34.0,12.0,2528.417409366221,2820.390688455508,27.0,5.0,42.0,21.0
67.0,74.0,0.0,medium,0.14294744773662615,2382.83149424271,82.0,2218.5390279908315,28.0,17.0,3070.112775857801,3458.2277522621125,19.0,16.0,18.0,29.0
68.0,75.0,0.0,medium,0.14223271049794303,3855.862389993424,96.0,3413.672250521955,39.0,9.0,2829.7578006937215,3185.027629158418,34.0,16.0,25.0,21.0
69.0,76.0,0.0,medium,0.14152154694545332,2897.4659991663734,88.0,2604.351055176341,31.0,11.0,2840.082556837526,3150.359030714229,37.0,18.0,14.0,19.0
70.0,77.0,0.0,medium,0.14081393921072605,3391.7793444683925,100.0,3027.86178856352,36.0,12.0,2792.3956327198616,3143.071682035734,47.0,4.0,36.0,13.0
71.0,78.0,0.0,medium,0.1401098695146724,3206.4933487011735,102.0,2922.2885134158373,35.0,13.0,2924.79228416324,3253.1397067290745,15.0,25.0,32.0,30.0
72.0,79.0,0.0,medium,0.13940932016709906,4351.706155922213,108.0,3865.556303755207,45.0,14.0,2779.526605854824,3137.006120443246,21.0,25.0,28.0,34.0
73.0,80.0,0.0,medium,0.13871227356626356,4060.3020478671615,109.0,3524.5619517737036,40.0,8.0,2845.1333838835662,3152.917111901024,22.0,17.0,19.0,51.0
74.0,81.0,0.0,medium,0.13801871219843223,3322.4048953192682,101.0,3042.153205871521,37.0,18.0,2392.9055221897283,2610.279029530182,17.0,12.0,7.0,65.0
75.0,82.0,0.0,medium,0.13732861863744006,2695.971347003408,87.0,2471.120696293898,30.0,14.0,2354.7546497045614,2601.3611104460056,5.0,19.0,13.0,50.0
76.0,83.0,0.0,medium,0.13664197554425286,3585.6724935123398,98.0,3142.7602991422223,36.0,7.0,2845.7558970939367,3137.812796902313,35.0,19.0,33.0,11.0
77.0,84.0,0.0,medium,0.1359587656665316,3166.0201405096495,89.0,2847.761040143325,34.0,13.0,2764.679160236787,3034.2788449397217,27.0,8.0,29.0,25.0
78.0,85.0,0.0,medium,0.13527897183819892,2478.5409084001913,89.0,2289.4861605814453,29.0,18.0,2511.860412967173,2780.159516922212,30.0,31.0,10.0,18.0
79.0,86.0,0.0,medium,0.13460257697900793,2440.211430023361,93.0,2301.1069548164946,30.0,22.0,2197.8904112209884,2313.6315530299503,39.0,20.0,8.0,26.0
80.0,87.0,0.0,medium,0.13392956409411289,1758.0260862963953,76.0,1693.4454666120316,22.0,13.0,2755.422994688224,3073.064066434074,10.0,33.0,13.0,20.0
81.0,88.0,0.0,medium,0.1332599162736423,3441.1290176183907,99.0,3066.202624059861,36.0,12.0,3048.621658478588,3404.6140356433525,26.0,29.0,30.0,14.0
82.0,89.0,0.0,medium,0.1325936166922741,3148.190626431528,100.0,2845.5071520342744,34.0,11.0,2716.092326640391,2995.680224223638,34.0,20.0,16.0,30.0
83.0,90.0,0.0,medium,0.13193064860881273,3649.5630210244303,95.0,3219.4419025006796,37.0,9.0,2748.041756611227,3056.8539299393437,40.0,2.0,26.0,27.0
84.0,91.0,0.0,medium,0.13127099536576867,2623.1301908094015,89.0,2422.5371895736457,31.0,21.0,2873.8527020374804,3232.111426298219,35.0,15.0,32.0,7.0
85.0,92.0,0.0,medium,0.13061464038893983,2775.3152330309317,90.0,2493.2100067322585,30.0,12.0,2697.287534903653,3030.0435589561603,5.0,5.0,43.0,37.0
86.0,93.0,0.0,medium,0.12996156718699514,2758.385792549923,89.0,2538.0937769419215,31.0,12.0,3075.459063094326,3406.3147790661305,27.0,7.0,18.0,37.0
87.0,94.0,0.0,medium,0.12931175935106015,2379.657055723805,81.0,2176.9811162334463,28.0,19.0,3041.306609267343,3464.192910346213,10.0,19.0,28.0,24.0
88.0,95.0,0.0,medium,0.12866520055430486,5159.68489380644,118.0,4406.609146551165,48.0,1.0,3157.3243633675215,3579.0448906407723,10.0,19.0,57.0,32.0
89.0,96.0,0.0,medium,0.12802187455153333,3093.2121526837054,83.0,2779.0267647669307,34.0,16.0,2559.8143525541664,2824.737539697893,38.0,7.0,30.0,8.0
90.0,97.0,0.0,medium,0.12738176517877567,3045.0455260443173,96.0,2782.900457373033,34.0,15.0,3114.726790590947,3509.4122575309575,45.0,9.0,19.0,23.0
91.0,98.0,0.0,medium,0.1267448563528818,3021.354080614482,102.0,2802.3225345721567,34.0,16.0,2429.535350738328,2670.6596832668165,30.0,29.0,25.0,18.0
92.0,99.0,0.0,medium,0.12611113207111738,2492.3338590198196,89.0,2317.087442867566,30.0,22.0,2734.4417211377668,3042.901481454093,43.0,8.0,29.0,9.0
93.0,100.0,0.0,medium,0.1254805764107618,3907.3578596894145,97.0,3428.174846171956,39.0,8.0,2824.994236504484,3163.0300033323642,40.0,28.0,11.0,18.0
94.0,101.0,0.0,medium,0.12485317352870799,3521.5640634328047,97.0,3138.6867013951064,37.0,11.0,2974.010941608855,3357.1248583827823,29.0,19.0,40.0,9.0
95.0,102.0,0.0,medium,0.12422890766106445,3135.5918334379135,87.0,2736.7973280189212,31.0,5.0,3052.061093476255,3394.0296040718017,30.0,21.0,24.0,12.0
96.0,103.0,0.0,medium,0.12360776312275913,3408.463026481376,95.0,3050.4756040686502,36.0,14.0,3264.1279685907684,3671.7306307978197,46.0,12.0,14.0,23.0
97.0,104.0,0.0,medium,0.12298972430714533,3578.4661712668667,100.0,3113.901829106372,35.0,6.0,2879.0179971163243,3186.2552200940086,30.0,23.0,41.0,6.0
98.0,105.0,0.0,medium,0.1223747756856096,2433.1169776137963,90.0,2254.999321617379,29.0,19.0,2461.245982100132,2686.6871380021057,44.0,5.0,22.0,19.0
99.0,106.0,0.0,medium,0.12176290180718155,2828.0329838223743,94.0,2606.20649286837,32.0,15.0,2827.9262035314805,3105.4269273712143,32.0,32.0,20.0,10.0
100.0,107.0,0.0,medium,0.12115408729814564,3297.9134800642596,99.0,2979.0864208609046,36.0,16.0,2969.9951312364174,3297.455946211309,30.0,32.0,17.0,20.0
101.0,108.0,0.0,medium,0.12054831686165492,2802.284203436618,96.0,2588.8693657005647,32.0,16.0,2580.1463927925042,2855.7149772085736,18.0,17.0,30.0,31.0
102.0,109.0,0.0,medium,0.11994557527734664,2100.612623664699,79.0,1985.9735007478957,27.0,24.0,2710.738324121305,3001.4020557292033,10.0,11.0,21.0,37.0
103.0,110.0,0.0,medium,0.11934584740095991,2634.8616093040096,85.0,2392.852293368169,29.0,13.0,3083.3405843679097,3440.8929475861055,11.0,15.0,33.0,26.0
104.0,111.0,0.0,medium,0.11874911816395511,4181.564250484367,99.0,3611.4901386112647,40.0,3.0,2395.649525679954,2598.1340856676343,15.0,9.0,54.0,21.0
105.0,112.0,0.0,medium,0.11815537257313534,3549.981040250306,108.0,3206.788868789132,38.0,13.0,2687.11283128811,2957.901800002222,35.0,13.0,36.0,24.0
106.0,113.0,0.0,medium,0.11756459571026966,2970.572253462275,93.0,2714.2508115495484,33.0,14.0,2834.424693641166,3159.561489290139,11.0,27.0,25.0,30.0
107.0,114.0,0.0,medium,0.1169767727317183,2979.2615859673238,89.0,2682.102328809555,32.0,12.0,2790.5378713352143,3085.163038228629,20.0,22.0,38.0,9.0
108.0,115.0,0.0,medium,0.1163918888680597,2612.9069611697582,86.0,2365.243201116758,29.0,15.0,2960.7930062713417,3281.430450713881,11.0,23.0,20.0,32.0
109.0,116.0,0.0,medium,0.11580992942371941,6020.952862427939,113.0,5114.8713488994545,55.0,1.0,3161.9177679320674,3569.8311261025474,52.0,27.0,25.0,9.0
110.0,117.0,0.0,medium,0.11523087977660082,3691.85705576152,104.0,3249.7427519441103,37.0,7.0,2737.808248648428,3030.3576982242807,40.0,5.0,44.0,15.0
111.0,118.0,0.0,medium,0.11465472537771781,2689.361425143072,88.0,2396.6241198605744,29.0,13.0,2753.3508376625705,3048.4284009576168,20.0,26.0,24.0,18.0
112.0,119.0,0.0,medium,0.11408145175082922,2495.732277190467,95.0,2274.57699668559,28.0,14.0,2233.6739095021103,2403.365656917661,19.0,4.0,32.0,40.0
113.0,120.0,0.0,medium,0.11351104449207507,1925.702423503533,83.0,1872.4157575350566,26.0,24.0,2664.0813699956957,2953.0125170882816,22.0,33.0,14.0,14.0
114.0,121.0,0.0,medium,0.11294348926961469,1975.3682232680565,99.0,1932.6859550968268,26.0,23.0,2919.6724795410973,3266.3043840937185,29.0,24.0,30.0,16.0
115.0,122.0,0.0,medium,0.11237877182326661,4255.918987818248,96.0,3676.754812182674,41.0,6.0,2927.762290604987,3270.479148279908,48.0,6.0,32.0,10.0
116.0,123.0,0.0,medium,0.11181687796415028,2154.8235871579413,81.0,2048.976031943931,28.0,25.0,2797.7058415787124,3092.6241345997482,22.0,2.0,9.0,48.0
117.0,124.0,0.0,medium,0.11125779357432954,4701.772263965152,113.0,4091.547660669601,46.0,7.0,2776.712159789205,3089.0451871532073,55.0,7.0,31.0,20.0
118.0,125.0,0.0,medium,0.11070150460645789,3875.7653946147866,96.0,3336.913714332055,37.0,6.0,2937.5231949582417,3288.4811207064554,30.0,2.0,48.0,16.0
119.0,126.0,0.0,medium,0.1101479970834256,2603.0285048554,88.0,2411.0143519983844,30.0,17.0,3254.3947033848362,3708.1635395995468,29.0,3.0,23.0,33.0
120.0,127.0,0.0,medium,0.10959725709800847,2920.18361282993,84.0,2619.9944372844348,31.0,11.0,3017.040825240968,3355.1303684233408,48.0,3.0,23.0,10.0
121.0,128.0,0.0,medium,0.10904927081251842,3383.4393146303973,97.0,3076.9964683562944,37.0,15.0,2354.1745577049287,2516.836728610409,40.0,13.0,16.0,28.0
122.0,129.0,0.0,medium,0.10850402445845582,2578.0537741481758,76.0,2300.1428749495644,28.0,12.0,2466.605701423679,2737.1455786349707,24.0,22.0,16.0,14.0
123.0,130.0,0.0,medium,0.10796150433616354,3600.7018466611853,102.0,3205.141340073937,38.0,13.0,2923.8305579875228,3262.7363146717116,14.0,40.0,23.0,25.0
124.0,131.0,0.0,medium,0.10742169681448273,3464.91970127351,92.0,3048.230899719684,36.0,14.0,2843.2013140240774,3121.445042633849,30.0,33.0,13.0,16.0
125.0,132.0,0.0,medium,0.10688458833041031,3363.5881708035326,101.0,3032.7025004867346,36.0,14.0,2583.2313433148724,2870.1638526379875,24.0,25.0,19.0,33.0
126.0,133.0,0.0,medium,0.10635016538875826,3362.702281957307,98.0,3018.2267382051773,35.0,10.0,2508.8098848910645,2749.417067824347,30.0,32.0,8.0,28.0
127.0,134.0,0.0,medium,0.10581841456181447,3340.285490156067,88.0,2947.682371999476,34.0,8.0,2488.7346919249453,2740.744447836103,31.0,25.0,23.0,9.0
128.0,135.0,0.0,medium,0.1052893224890054,3004.7927216017583,86.0,2676.5859996891477,32.0,14.0,3101.7344650008954,3540.2162567943283,21.0,14.0,28.0,23.0
129.0,136.0,0.0,medium,0.10476287587656037,3528.3508964905677,99.0,3158.728733896004,37.0,11.0,2765.270638142648,3114.985877209458,37.0,23.0,19.0,20.0
130.0,137.0,0.0,medium,0.10423906149717757,2933.49051932618,100.0,2723.181316902537,34.0,18.0,2297.7385230782606,2508.372259955877,33.0,37.0,12.0,18.0
131.0,138.0,0.0,medium,0.10371786618969168,4201.394770229032,105.0,3685.513943414991,42.0,10.0,2728.2737154102233,3006.3303174583193,43.0,12.0,20.0,30.0
132.0,139.0,0.0,medium,0.10319927685874322,3229.593078895394,91.0,2884.838028123587,34.0,13.0,2533.6883173479337,2817.3794747333523,55.0,3.0,22.0,11.0
133.0,140.0,0.0,medium,0.10268328047444951,3404.999055822693,89.0,2978.7189728906674,34.0,5.0,2671.4017074479057,2943.7044042916455,51.0,4.0,6.0,28.0
134.0,141.0,0.0,medium,0.10216986407207726,3223.739823970416,97.0,2876.2495747529465,34.0,13.0,2894.488546444957,3221.1169830814115,43.0,19.0,7.0,28.0
135.0,142.0,0.0,medium,0.10165901475171688,3259.5396964249358,90.0,2918.771187213646,34.0,10.0,2649.39437026574,2945.5653376607024,27.0,8.0,18.0,37.0
136.0,143.0,0.0,medium,0.10115071967795829,2168.6027078820844,91.0,2100.553397604903,28.0,22.0,2712.916092335643,3045.7135832464023,48.0,2.0,9.0,32.0
137.0,144.0,0.0,medium,0.10064496607956849,4459.359541996436,105.0,3853.371197185975,43.0,7.0,3133.2064922027553,3453.1854785297082,25.0,22.0,22.0,36.0
138.0,145.0,0.0,medium,0.10014174124917065,3491.9310186692624,100.0,3104.671332824822,36.0,9.0,2953.5081918518913,3320.4079906284605,39.0,34.0,16.0,11.0
139.0,146.0,0.0,medium,0.09964103254292479,2594.748991167713,95.0,2415.9208124055453,30.0,14.0,2974.9811302747357,3331.7728808175725,7.0,39.0,31.0,18.0
140.0,147.0,0.0,medium,0.09914282738021017,3313.686144906005,97.0,2986.6213567672257,36.0,16.0,3126.549007462861,3506.7426558840984,32.0,21.0,26.0,18.0
141.0,148.0,0.0,medium,0.09864711324330912,4349.757501014627,126.0,3848.447582496331,44.0,10.0,2765.7661987290553,3064.2423503398763,22.0,46.0,28.0,30.0
142.0,149.0,0.0,medium,0.09815387767709258,2174.10811755522,80.0,2000.3252453619968,25.0,13.0,3003.7395911034255,3390.6067814426738,18.0,0.0,11.0,51.0
143.0,150.0,0.0,medium,0.09766310828870711,3779.8792713149614,96.0,3271.7511641005035,37.0,3.0,2900.0474245851865,3234.9879792271568,9.0,14.0,39.0,34.0
144.0,151.0,0.0,medium,0.09717479274726358,3989.665355087337,91.0,3429.575146248511,38.0,6.0,2980.669235535935,3341.270865049205,21.0,6.0,23.0,41.0
145.0,152.0,0.0,medium,0.09668891878352726,2998.0912985165533,98.0,2730.2373818327637,33.0,16.0,2784.891503249806,3094.308339542663,49.0,4.0,3.0,42.0
146.0,153.0,0.0,medium,0.09620547418960962,3166.4997409654993,93.0,2887.9617448266813,35.0,16.0,2542.4378601403187,2802.486007186916,17.0,6.0,16.0,54.0
147.0,154.0,0.0,medium,0.09572444681866157,3780.3342275154246,107.0,3343.987055223501,39.0,10.0,2803.903704669324,3094.6245217891724,44.0,6.0,18.0,39.0
148.0,155.0,0.0,medium,0.09524582458456826,4974.989660299739,107.0,4271.083543251563,47.0,4.0,3086.0653598634294,3462.402607065512,25.0,3.0,29.0,50.0
149.0,156.0,0.0,medium,0.09476959546164541,2068.0524396787882,85.0,1925.2985258328104,25.0,17.0,3032.4389991892176,3398.268667811447,21.0,3.0,14.0,47.0
150.0,157.0,0.0,medium,0.09429574748433718,2661.4577552505925,92.0,2473.8993813928814,31.0,19.0,3253.7923209230685,3681.259140744269,18.0,4.0,20.0,50.0
151.0,158.0,0.0,medium,0.09382426874691549,2311.624343753338,86.0,2178.5957737884573,28.0,19.0,2933.5748400335674,3277.0604772053434,27.0,12.0,14.0,33.0
152.0,159.0,0.0,medium,0.09335514740318092,2896.457119338646,89.0,2629.990960095517,32.0,15.0,2983.9842902580335,3352.3646892632337,18.0,10.0,30.0,31.0
153.0,160.0,0.0,medium,0.09288837166616501,3396.4813457224154,96.0,3045.6661691073705,36.0,12.0,2584.3257620106037,2870.6083246043677,22.0,1.0,12.0,61.0
154.0,161.0,0.0,medium,0.09242392980783419,3711.702936696792,95.0,3230.8431004383,36.0,5.0,3021.8569265241617,3386.059556701874,34.0,6.0,14.0,41.0
155.0,162.0,0.0,medium,0.09196181015879502,3501.9980955353813,98.0,3053.668506001894,35.0,5.0,2870.8637143271612,3209.2566930567455,37.0,8.0,24.0,29.0
156.0,163.0,0.0,medium,0.09150200110800105,2621.11807544545,90.0,2398.9007181592465,30.0,16.0,2613.7656112195323,2884.1464552499074,16.0,18.0,15.0,41.0
157.0,164.0,0.0,medium,0.09104449110246104,3541.357721872474,95.0,3156.910652710468,37.0,11.0,2678.7757657966636,2938.0070789252004,40.0,12.0,6.0,37.0
158.0,165.0,0.0,medium,0.09058926864694875,2054.481518810958,85.0,1958.503318032777,25.0,15.0,2626.1720868062,2904.9084567390387,22.0,4.0,20.0,39.0
