charging_slots,node_id,occupied_piles,queue_length,station_id,time,waiting_vehicles
"[None, None]",63,0,0,2,39,[]
"[None, None]",64,0,0,3,39,[]
"[None, None]",61,0,0,0,40,[]
"[None, None]",62,0,0,1,40,[]
"[None, None]",63,0,0,2,40,[]
"[None, None]",64,0,0,3,40,[]
"[None, None]",61,0,0,0,41,[]
"[None, None]",62,0,0,1,41,[]
"[None, None]",63,0,0,2,41,[]
"[None, None]",64,0,0,3,41,[]
"[None, None]",61,0,0,0,42,[]
"[None, None]",62,0,0,1,42,[]
"[None, None]",63,0,0,2,42,[]
"[None, None]",64,0,0,3,42,[]
"[None, None]",61,0,0,0,43,[]
"[None, None]",62,0,0,1,43,[]
"[None, None]",63,0,0,2,43,[]
"[None, None]",64,0,0,3,43,[]
"[None, None]",61,0,0,0,44,[]
"[None, None]",62,0,0,1,44,[]
"[None, None]",63,0,0,2,44,[]
"[None, None]",64,0,0,3,44,[]
"[None, None]",61,0,0,0,45,[]
"[None, None]",62,0,0,1,45,[]
"[None, None]",63,0,0,2,45,[]
"[None, None]",64,0,0,3,45,[]
"[None, None]",61,0,0,0,46,[]
"[None, None]",62,0,0,1,46,[]
"[None, None]",63,0,0,2,46,[]
"[None, None]",64,0,0,3,46,[]
"[None, None]",61,0,0,0,47,[]
"[None, None]",62,0,0,1,47,[]
"[None, None]",63,0,0,2,47,[]
"[None, None]",64,0,0,3,47,[]
"[None, None]",61,0,0,0,48,[]
"[None, None]",62,0,0,1,48,[]
"[None, None]",63,0,0,2,48,[]
"[None, None]",64,0,0,3,48,[]
"[None, None]",61,0,0,0,49,[]
"[None, None]",62,0,0,1,49,[]
"[None, None]",63,0,0,2,49,[]
"[None, None]",64,0,0,3,49,[]
"[None, None]",61,0,0,0,50,[]
"[None, None]",62,0,0,1,50,[]
"[None, None]",63,0,0,2,50,[]
"[None, None]",64,0,0,3,50,[]
"[None, None]",61,0,0,0,51,[]
"[None, None]",62,0,0,1,51,[]
"[None, None]",63,0,0,2,51,[]
"[None, None]",64,0,0,3,51,[]
"[None, None]",61,0,0,0,52,[]
"[None, None]",62,0,0,1,52,[]
"[None, None]",63,0,0,2,52,[]
"[None, None]",64,0,0,3,52,[]
"[None, None]",61,0,0,0,53,[]
"[None, None]",62,0,0,1,53,[]
"[None, None]",63,0,0,2,53,[]
"[None, None]",64,0,0,3,53,[]
"[None, None]",61,0,0,0,54,[]
"[None, None]",62,0,0,1,54,[]
"[None, None]",63,0,0,2,54,[]
"[None, None]",64,0,0,3,54,[]
"[None, None]",61,0,0,0,55,[]
"[None, None]",62,0,0,1,55,[]
"[None, None]",63,0,0,2,55,[]
"[None, None]",64,0,0,3,55,[]
"[None, None]",61,0,0,0,56,[]
"[None, None]",62,0,0,1,56,[]
"[None, None]",63,0,0,2,56,[]
"[None, None]",64,0,0,3,56,[]
"[None, None]",61,0,0,0,57,[]
"[None, None]",62,0,0,1,57,[]
"[None, None]",63,0,0,2,57,[]
"[None, None]",64,0,0,3,57,[]
"[None, None]",61,0,0,0,58,[]
"[None, None]",62,0,0,1,58,[]
"[None, None]",63,0,0,2,58,[]
"[None, None]",64,0,0,3,58,[]
"[None, None]",61,0,0,0,59,[]
"[None, None]",62,0,0,1,59,[]
"[None, None]",63,0,0,2,59,[]
"[None, None]",64,0,0,3,59,[]
"[None, None]",61,0,0,0,60,[]
"[None, None]",62,0,0,1,60,[]
"[None, None]",63,0,0,2,60,[]
"[None, None]",64,0,0,3,60,[]
"[None, None]",61,0,0,0,61,[]
"[None, None]",62,0,0,1,61,[]
"[None, None]",63,0,0,2,61,[]
"[None, None]",64,0,0,3,61,[]
"[None, None]",61,0,0,0,62,[]
"[None, None]",62,0,0,1,62,[]
"[None, None]",63,0,0,2,62,[]
"[None, None]",64,0,0,3,62,[]
"[None, None]",61,0,0,0,63,[]
"[None, None]",62,0,0,1,63,[]
"[None, None]",63,0,0,2,63,[]
"[None, None]",64,0,0,3,63,[]
"[None, None]",61,0,0,0,64,[]
"[None, None]",62,0,0,1,64,[]
"[None, None]",63,0,0,2,64,[]
"[None, None]",64,0,0,3,64,[]
"[None, None]",61,0,0,0,65,[]
"[None, None]",62,0,0,1,65,[]
"[None, None]",63,0,0,2,65,[]
"[None, None]",64,0,0,3,65,[]
"[None, None]",61,0,0,0,66,[]
"[None, None]",62,0,0,1,66,[]
"[None, None]",63,0,0,2,66,[]
"[None, None]",64,0,0,3,66,[]
"[None, None]",61,0,0,0,67,[]
"[None, None]",62,0,0,1,67,[]
"[None, None]",63,0,0,2,67,[]
"[None, None]",64,0,0,3,67,[]
"[None, None]",61,0,0,0,68,[]
"[None, None]",62,0,0,1,68,[]
"[None, None]",63,0,0,2,68,[]
"[None, None]",64,0,0,3,68,[]
"[None, None]",61,0,0,0,69,[]
"[None, None]",62,0,0,1,69,[]
"[None, None]",63,0,0,2,69,[]
"[None, None]",64,0,0,3,69,[]
"[None, None]",61,0,0,0,70,[]
"[None, None]",62,0,0,1,70,[]
"[None, None]",63,0,0,2,70,[]
"[None, None]",64,0,0,3,70,[]
"[None, None]",61,0,0,0,71,[]
"[None, None]",62,0,0,1,71,[]
"[None, None]",63,0,0,2,71,[]
"[None, None]",64,0,0,3,71,[]
"[None, None]",61,0,0,0,72,[]
"[None, None]",62,0,0,1,72,[]
"[None, None]",63,0,0,2,72,[]
"[None, None]",64,0,0,3,72,[]
